,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_head_rdm_corr,same_head_rdm_std,same_modifier_rdm_corr,same_modifier_rdm_std
0,tiiuae/Falcon3-7B-Base,1,standard,0.09315885051121783,0.5048691485353974,,,,
1,tiiuae/Falcon3-7B-Base,1,standard,0.09315885051121783,0.5048691485353974,0.15505021696894847,0.7215277453852619,,
2,tiiuae/Falcon3-7B-Base,1,standard,0.09315885051121783,0.5048691485353974,0.15505021696894847,0.7215277453852619,-0.04140393356054126,0.5539468772880148
3,tiiuae/Falcon3-7B-Base,1,context,0.12421180068162378,0.4916444708468568,,,,
4,tiiuae/Falcon3-7B-Base,1,context,0.12421180068162378,0.4916444708468568,0.20899255409135672,0.7374429553086608,,
5,tiiuae/Falcon3-7B-Base,1,context,0.12421180068162378,0.4916444708468568,0.20899255409135672,0.7374429553086608,0.07763237542601487,0.6273882939843328
6,tiiuae/Falcon3-7B-Base,1,no_context,0.12436291792169854,0.46485318810861187,,,,
7,tiiuae/Falcon3-7B-Base,1,no_context,0.12436291792169854,0.46485318810861187,0.16789085501096498,0.781821868402855,,
8,tiiuae/Falcon3-7B-Base,1,no_context,0.12436291792169854,0.46485318810861187,0.16789085501096498,0.781821868402855,0.10853420835634604,0.5965286045418354
9,tiiuae/Falcon3-7B-Base,2,standard,0.49684720272649513,0.4850625880087171,,,,
10,tiiuae/Falcon3-7B-Base,2,standard,0.49684720272649513,0.4850625880087171,0.055329105942535615,0.6459843905952702,,
11,tiiuae/Falcon3-7B-Base,2,standard,0.49684720272649513,0.4850625880087171,0.055329105942535615,0.6459843905952702,0.12938729237669144,0.5958562266664191
12,tiiuae/Falcon3-7B-Base,2,context,0.3829863854350067,0.5166167410594213,,,,
13,tiiuae/Falcon3-7B-Base,2,context,0.3829863854350067,0.5166167410594213,-0.011952286093343933,0.69682955489232,,
14,tiiuae/Falcon3-7B-Base,2,context,0.3829863854350067,0.5166167410594213,-0.011952286093343933,0.69682955489232,0.0724568837309472,0.6202821938440601
15,tiiuae/Falcon3-7B-Base,2,no_context,0.4350435368658328,0.5132096841007546,,,,
