,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_head_rdm_corr,same_head_rdm_std,same_modifier_rdm_corr,same_modifier_rdm_std
0,openai-community/gpt2,1,standard,0.08280786712108253,0.49164447084685675,,,,
1,openai-community/gpt2,1,standard,0.08280786712108253,0.49164447084685675,0.004589374226544607,0.4924215040432422,,
2,openai-community/gpt2,1,standard,0.08280786712108253,0.49164447084685675,0.004589374226544607,0.4924215040432422,-0.005175491695067658,0.5185574083110623
3,openai-community/gpt2,1,context,0.18114220932736802,0.607431654003736,,,,
4,openai-community/gpt2,1,context,0.18114220932736802,0.607431654003736,0.10889985947950206,0.6037958198214991,,
5,openai-community/gpt2,1,context,0.18114220932736802,0.607431654003736,0.10889985947950206,0.6037958198214991,0.02070196678027063,0.627580387565723
6,openai-community/gpt2,1,no_context,0.17101790179734483,0.6430680296128957,,,,
7,openai-community/gpt2,1,no_context,0.17101790179734483,0.6430680296128957,0.03674521022870438,0.6040432740459961,,
8,openai-community/gpt2,1,no_context,0.17101790179734483,0.6430680296128957,0.03674521022870438,0.6040432740459961,0.01027542477009794,0.5611826157774634
9,openai-community/gpt2,2,standard,0.07763237542601487,0.6687207937547629,,,,
10,openai-community/gpt2,2,standard,0.07763237542601487,0.6687207937547629,0.01910066407706201,0.6920410962634587,,
11,openai-community/gpt2,2,standard,0.07763237542601487,0.6687207937547629,0.01910066407706201,0.6920410962634587,0.04657942525560892,0.5846015126318342
12,openai-community/gpt2,2,context,0.09315885051121783,0.6786804423711817,,,,
13,openai-community/gpt2,2,context,0.09315885051121783,0.6786804423711817,0.02865099611559301,0.6645894374887283,,
14,openai-community/gpt2,2,context,0.09315885051121783,0.6786804423711817,0.02865099611559301,0.6645894374887283,0.08798335881615019,0.6225882037338738
15,openai-community/gpt2,2,no_context,0.036530676345623125,0.7097975545951543,,,,
16,openai-community/gpt2,2,no_context,0.036530676345623125,0.7097975545951543,0.07713395855456008,0.6212754023353471,,
17,openai-community/gpt2,2,no_context,0.036530676345623125,0.7097975545951543,0.07713395855456008,0.6212754023353471,0.12938729237669144,0.5958562266664191
18,openai-community/gpt2,3,standard,0.1345627840717591,0.6406748673970954,,,,
19,openai-community/gpt2,3,standard,0.1345627840717591,0.6406748673970954,0.02427615577212967,0.6785883117416304,,
20,openai-community/gpt2,3,standard,0.1345627840717591,0.6406748673970954,0.02427615577212967,0.6785883117416304,0.04657942525560892,0.6472262245260816
21,openai-community/gpt2,3,context,0.11386081729148848,0.6818305193688952,,,,
22,openai-community/gpt2,3,context,0.11386081729148848,0.6818305193688952,-0.04300523626374988,0.6444326239388849,,
23,openai-community/gpt2,3,context,0.11386081729148848,0.6818305193688952,-0.04300523626374988,0.6444326239388849,0.09315885051121783,0.6627054937365251
24,openai-community/gpt2,3,no_context,0.17109346041738221,0.649848180773407,,,,
25,openai-community/gpt2,3,no_context,0.17109346041738221,0.649848180773407,0.019251781317136764,0.6636789171358174,,
