,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_head_rdm_corr,same_head_rdm_std,same_modifier_rdm_corr,same_modifier_rdm_std
93,meta-llama/Llama-3.2-3B,11,context,0.5267827268770102,0.1787900942934488,,,,
94,meta-llama/Llama-3.2-3B,11,context,0.5267827268770102,0.1787900942934488,0.22872820443850497,0.189753187081964,,
95,meta-llama/Llama-3.2-3B,11,context,0.5267827268770102,0.1787900942934488,0.22872820443850497,0.189753187081964,0.20725916133848826,0.19138147296881594
96,meta-llama/Llama-3.2-3B,11,no_context,0.37829192294634656,0.2084343226955582,,,,
97,meta-llama/Llama-3.2-3B,11,no_context,0.37829192294634656,0.2084343226955582,0.2759225384497056,0.22866285789998197,,
98,meta-llama/Llama-3.2-3B,11,no_context,0.37829192294634656,0.2084343226955582,0.2759225384497056,0.22866285789998197,0.29839096154909706,0.2046805390593432
99,meta-llama/Llama-3.2-3B,12,standard,0.44362790816118736,0.20418043361424099,,,,
100,meta-llama/Llama-3.2-3B,12,standard,0.44362790816118736,0.20418043361424099,0.2679476858734113,0.1724352292115705,,
101,meta-llama/Llama-3.2-3B,12,standard,0.44362790816118736,0.20418043361424099,0.2679476858734113,0.1724352292115705,0.2746595967062297,0.17835079816163585
102,meta-llama/Llama-3.2-3B,12,context,0.5214966014818724,0.18651804156178117,,,,
103,meta-llama/Llama-3.2-3B,12,context,0.5214966014818724,0.18651804156178117,0.22024794875680712,0.18832880669466884,,
104,meta-llama/Llama-3.2-3B,12,context,0.5214966014818724,0.18651804156178117,0.22024794875680712,0.18832880669466884,0.2031742468256769,0.18935794815450588
105,meta-llama/Llama-3.2-3B,12,no_context,0.3636534218521185,0.20741132794008654,,,,
106,meta-llama/Llama-3.2-3B,12,no_context,0.3636534218521185,0.20741132794008654,0.28428378418449307,0.22236635810737826,,
107,meta-llama/Llama-3.2-3B,12,no_context,0.3636534218521185,0.20741132794008654,0.28428378418449307,0.22236635810737826,0.3114738999457528,0.1929764560252674
108,meta-llama/Llama-3.2-3B,13,standard,0.43752853270525893,0.2110474005786503,,,,
109,meta-llama/Llama-3.2-3B,13,standard,0.43752853270525893,0.2110474005786503,0.3003774370162346,0.20026602934485035,,
110,meta-llama/Llama-3.2-3B,13,standard,0.43752853270525893,0.2110474005786503,0.3003774370162346,0.20026602934485035,0.2883016767619334,0.1979214514924478
111,meta-llama/Llama-3.2-3B,13,context,0.5129574758435727,0.19652560434044125,,,,
112,meta-llama/Llama-3.2-3B,13,context,0.5129574758435727,0.19652560434044125,0.2401776939802164,0.2022848234451151,,
113,meta-llama/Llama-3.2-3B,13,context,0.5129574758435727,0.19652560434044125,0.2401776939802164,0.2022848234451151,0.20915511470679152,0.19128605829418627
114,meta-llama/Llama-3.2-3B,13,no_context,0.35958553848968144,0.1880919102902349,,,,
115,meta-llama/Llama-3.2-3B,13,no_context,0.35958553848968144,0.1880919102902349,0.28849241971909156,0.22294054983534195,,
116,meta-llama/Llama-3.2-3B,13,no_context,0.35958553848968144,0.1880919102902349,0.28849241971909156,0.22294054983534195,0.31177199064595695,0.19715983485072647
117,meta-llama/Llama-3.2-3B,14,standard,0.4430179706155945,0.21538070376175775,,,,
118,meta-llama/Llama-3.2-3B,14,standard,0.4430179706155945,0.21538070376175775,0.31506677234677455,0.2000179642600175,,
119,meta-llama/Llama-3.2-3B,14,standard,0.4430179706155945,0.21538070376175775,0.31506677234677455,0.2000179642600175,0.30716640099599685,0.1963777694844095
120,meta-llama/Llama-3.2-3B,14,context,0.5198701013602915,0.1908054105516067,,,,
121,meta-llama/Llama-3.2-3B,14,context,0.5198701013602915,0.1908054105516067,0.23477464870403403,0.20194636953158607,,
122,meta-llama/Llama-3.2-3B,14,context,0.5198701013602915,0.1908054105516067,0.23477464870403403,0.20194636953158607,0.22497081893613863,0.18787185293038777
123,meta-llama/Llama-3.2-3B,14,no_context,0.36710156931805354,0.18625345505852733,,,,
124,meta-llama/Llama-3.2-3B,14,no_context,0.36710156931805354,0.18625345505852733,0.29970158817781023,0.20354263035007608,,
125,meta-llama/Llama-3.2-3B,14,no_context,0.36710156931805354,0.18625345505852733,0.29970158817781023,0.20354263035007608,0.3167769380590745,0.1983448270143502
126,meta-llama/Llama-3.2-3B,15,standard,0.44545772079796586,0.2100995567424792,,,,
127,meta-llama/Llama-3.2-3B,15,standard,0.44545772079796586,0.2100995567424792,0.3083593575153894,0.20402362165401502,,
128,meta-llama/Llama-3.2-3B,15,standard,0.44545772079796586,0.2100995567424792,0.3083593575153894,0.20402362165401502,0.30939227334672187,0.18318419807203778
129,meta-llama/Llama-3.2-3B,15,context,0.5225131640578604,0.19276556957821803,,,,
130,meta-llama/Llama-3.2-3B,15,context,0.5225131640578604,0.19276556957821803,0.2233019133857857,0.19698869183454,,
131,meta-llama/Llama-3.2-3B,15,context,0.5225131640578604,0.19276556957821803,0.2233019133857857,0.19698869183454,0.23502769699916692,0.18600604007004123
132,meta-llama/Llama-3.2-3B,15,no_context,0.3632402645877838,0.18528782597146745,,,,
133,meta-llama/Llama-3.2-3B,15,no_context,0.3632402645877838,0.18528782597146745,0.30436068059518495,0.22372000234306744,,
134,meta-llama/Llama-3.2-3B,15,no_context,0.3632402645877838,0.18528782597146745,0.30436068059518495,0.22372000234306744,0.3185742783929496,0.19422177226343265
135,meta-llama/Llama-3.2-3B,16,standard,0.44708422091954675,0.20401466239842903,,,,
136,meta-llama/Llama-3.2-3B,16,standard,0.44708422091954675,0.20401466239842903,0.31610266666186443,0.18849440688616725,,
137,meta-llama/Llama-3.2-3B,16,standard,0.44708422091954675,0.20401466239842903,0.31610266666186443,0.18849440688616725,0.30726401383469104,0.17329994807365928
138,meta-llama/Llama-3.2-3B,16,context,0.5208866639362796,0.20292952030604172,,,,
139,meta-llama/Llama-3.2-3B,16,context,0.5208866639362796,0.20292952030604172,0.2382980359385015,0.20076071761539438,,
140,meta-llama/Llama-3.2-3B,16,context,0.5208866639362796,0.20292952030604172,0.2382980359385015,0.20076071761539438,0.2551208049278751,0.18888745364507828
141,meta-llama/Llama-3.2-3B,16,no_context,0.3622220689533109,0.1825155203483532,,,,
142,meta-llama/Llama-3.2-3B,16,no_context,0.3622220689533109,0.1825155203483532,0.29573073411844397,0.21811239428536414,,
143,meta-llama/Llama-3.2-3B,16,no_context,0.3622220689533109,0.1825155203483532,0.29573073411844397,0.21811239428536414,0.32220421167139046,0.19815205956797274
144,meta-llama/Llama-3.2-3B,17,standard,0.41496084351832413,0.21112015044348661,,,,
145,meta-llama/Llama-3.2-3B,17,standard,0.41496084351832413,0.21112015044348661,0.3350104876686921,0.21745700117832514,,
146,meta-llama/Llama-3.2-3B,17,standard,0.41496084351832413,0.21112015044348661,0.3350104876686921,0.21745700117832514,0.33583003216662044,0.18634557807378285
147,meta-llama/Llama-3.2-3B,17,context,0.5056382252964587,0.20230882526578833,,,,
148,meta-llama/Llama-3.2-3B,17,context,0.5056382252964587,0.20230882526578833,0.2580157577870882,0.20260202375340233,,
149,meta-llama/Llama-3.2-3B,17,context,0.5056382252964587,0.20230882526578833,0.2580157577870882,0.20260202375340233,0.27502715970733266,0.19037125774228564
150,meta-llama/Llama-3.2-3B,17,no_context,0.33313041563671886,0.17871091919510812,,,,
151,meta-llama/Llama-3.2-3B,17,no_context,0.33313041563671886,0.17871091919510812,0.3240810512667933,0.23897869442855324,,
152,meta-llama/Llama-3.2-3B,17,no_context,0.33313041563671886,0.17871091919510812,0.3240810512667933,0.23897869442855324,0.3450147461824996,0.21184974376109286
153,meta-llama/Llama-3.2-3B,18,standard,0.4066250303952222,0.21183564059038468,,,,
154,meta-llama/Llama-3.2-3B,18,standard,0.4066250303952222,0.21183564059038468,0.32914823960614453,0.21773224264738397,,
155,meta-llama/Llama-3.2-3B,18,standard,0.4066250303952222,0.21183564059038468,0.32914823960614453,0.21773224264738397,0.3284993414733372,0.18954082685224005
156,meta-llama/Llama-3.2-3B,18,context,0.4954725995365781,0.21041332702048768,,,,
157,meta-llama/Llama-3.2-3B,18,context,0.4954725995365781,0.21041332702048768,0.2573896181393115,0.21150969904400052,,
158,meta-llama/Llama-3.2-3B,18,context,0.4954725995365781,0.21041332702048768,0.2573896181393115,0.21150969904400052,0.2818542078935818,0.1909060715412179
159,meta-llama/Llama-3.2-3B,18,no_context,0.32947079036316185,0.18503189828693214,,,,
160,meta-llama/Llama-3.2-3B,18,no_context,0.32947079036316185,0.18503189828693214,0.3275914897174105,0.2359152956720492,,
161,meta-llama/Llama-3.2-3B,18,no_context,0.32947079036316185,0.18503189828693214,0.3275914897174105,0.2359152956720492,0.3469093529953597,0.20998418469786176
162,meta-llama/Llama-3.2-3B,19,standard,0.4395616578572351,0.1980890018287301,,,,
163,meta-llama/Llama-3.2-3B,19,standard,0.4395616578572351,0.1980890018287301,0.3188684643239144,0.2132076609383214,,
164,meta-llama/Llama-3.2-3B,19,standard,0.4395616578572351,0.1980890018287301,0.3188684643239144,0.2132076609383214,0.3217060951475893,0.19123864110642308
165,meta-llama/Llama-3.2-3B,19,context,0.5113309757219918,0.20461109306379727,,,,
166,meta-llama/Llama-3.2-3B,19,context,0.5113309757219918,0.20461109306379727,0.2660034406457978,0.2059555978212381,,
167,meta-llama/Llama-3.2-3B,19,context,0.5113309757219918,0.20461109306379727,0.2660034406457978,0.2059555978212381,0.26943934254532464,0.1910919427337426
168,meta-llama/Llama-3.2-3B,19,no_context,0.341676073508958,0.18379583136032163,,,,
169,meta-llama/Llama-3.2-3B,19,no_context,0.341676073508958,0.18379583136032163,0.34358237404712877,0.22100214120869674,,
170,meta-llama/Llama-3.2-3B,19,no_context,0.341676073508958,0.18379583136032163,0.34358237404712877,0.22100214120869674,0.33693656120556964,0.2077217479646692
171,meta-llama/Llama-3.2-3B,20,standard,0.4466775958891514,0.1895272898150978,,,,
172,meta-llama/Llama-3.2-3B,20,standard,0.4466775958891514,0.1895272898150978,0.3339295324142009,0.1959054413986162,,
173,meta-llama/Llama-3.2-3B,20,standard,0.4466775958891514,0.1895272898150978,0.3339295324142009,0.1959054413986162,0.33734585406982853,0.20211075191395267
174,meta-llama/Llama-3.2-3B,20,context,0.509704475600411,0.2046531093630333,,,,
175,meta-llama/Llama-3.2-3B,20,context,0.509704475600411,0.2046531093630333,0.2879906375904151,0.20752076718871562,,
176,meta-llama/Llama-3.2-3B,20,context,0.509704475600411,0.2046531093630333,0.2879906375904151,0.20752076718871562,0.272606227018627,0.18594241529877506
177,meta-llama/Llama-3.2-3B,20,no_context,0.35692451214877885,0.18352722298800528,,,,
178,meta-llama/Llama-3.2-3B,20,no_context,0.35692451214877885,0.18352722298800528,0.3406058223463363,0.21373764199987905,,
179,meta-llama/Llama-3.2-3B,20,no_context,0.35692451214877885,0.18352722298800528,0.3406058223463363,0.21373764199987905,0.3309564103495517,0.19110653410190134
180,meta-llama/Llama-3.2-3B,21,standard,0.4373252201900614,0.19228237457987166,,,,
181,meta-llama/Llama-3.2-3B,21,standard,0.4373252201900614,0.19228237457987166,0.34674192832369755,0.20771590754216215,,
182,meta-llama/Llama-3.2-3B,21,standard,0.4373252201900614,0.19228237457987166,0.34674192832369755,0.20771590754216215,0.34135066140887393,0.20564337028457513
183,meta-llama/Llama-3.2-3B,21,context,0.5048249752356682,0.2087328510524053,,,,
184,meta-llama/Llama-3.2-3B,21,context,0.5048249752356682,0.2087328510524053,0.28209368583256084,0.20796583287109408,,
185,meta-llama/Llama-3.2-3B,21,context,0.5048249752356682,0.2087328510524053,0.28209368583256084,0.20796583287109408,0.2762482916666925,0.18847538917347606
186,meta-llama/Llama-3.2-3B,21,no_context,0.36303368595561647,0.18152353335081547,,,,
187,meta-llama/Llama-3.2-3B,21,no_context,0.36303368595561647,0.18152353335081547,0.34554087594008787,0.20874990790636674,,
188,meta-llama/Llama-3.2-3B,21,no_context,0.36303368595561647,0.18152353335081547,0.34554087594008787,0.20874990790636674,0.33307248384964144,0.1862591144595189
189,meta-llama/Llama-3.2-3B,22,standard,0.4342755324620972,0.19319439452032267,,,,
190,meta-llama/Llama-3.2-3B,22,standard,0.4342755324620972,0.19319439452032267,0.3469889713188589,0.21567902358966776,,
191,meta-llama/Llama-3.2-3B,22,standard,0.4342755324620972,0.19319439452032267,0.3469889713188589,0.21567902358966776,0.3459308554040459,0.21066400474718686
192,meta-llama/Llama-3.2-3B,22,context,0.4973024121733566,0.21384417693868124,,,,
193,meta-llama/Llama-3.2-3B,22,context,0.4973024121733566,0.21384417693868124,0.28685534065440993,0.21705371835818693,,
194,meta-llama/Llama-3.2-3B,22,context,0.4973024121733566,0.21384417693868124,0.28685534065440993,0.21705371835818693,0.28323677079956366,0.19555239100381558
195,meta-llama/Llama-3.2-3B,22,no_context,0.3595806393142268,0.18937374187566217,,,,
196,meta-llama/Llama-3.2-3B,22,no_context,0.3595806393142268,0.18937374187566217,0.34754204629383817,0.2115109117421493,,
197,meta-llama/Llama-3.2-3B,22,no_context,0.3595806393142268,0.18937374187566217,0.34754204629383817,0.2115109117421493,0.3391361686059889,0.18686236933356015
198,meta-llama/Llama-3.2-3B,23,standard,0.4310225322189355,0.1926390104827897,,,,
199,meta-llama/Llama-3.2-3B,23,standard,0.4310225322189355,0.1926390104827897,0.34560686316066713,0.21041501275735733,,
200,meta-llama/Llama-3.2-3B,23,standard,0.4310225322189355,0.1926390104827897,0.34560686316066713,0.21041501275735733,0.35365790583100676,0.2117234601852732
201,meta-llama/Llama-3.2-3B,23,context,0.4938460994149973,0.21354580425724365,,,,
202,meta-llama/Llama-3.2-3B,23,context,0.4938460994149973,0.21354580425724365,0.2883645382950717,0.22228516381442956,,
